City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
339,frankfort,40,US,1552582085,64,38.2,-84.87,72,24.16
340,muisne,40,EC,1552579200,88,0.61,-80.02,82.4,9.17
341,mahanoro,68,MG,1552582228,91,-19.9,48.8,74.26,4.61
342,coquimbo,90,CL,1552579200,87,-29.95,-71.34,60.8,8.05
343,tessalit,24,ML,1552582229,15,20.2,1.01,81.37,3.38
344,fairbanks,1,US,1552582005,67,64.84,-147.72,23,8.05
345,nanzhou,75,TW,1552582198,83,22.49,120.51,69.8,6.93
346,bonthe,0,SL,1552582230,54,7.53,-12.5,90.91,6.73
347,chico,75,US,1552582225,59,39.73,-121.84,54,6.93
348,juarez,0,AR,1552579200,28,-38.95,-67.92,69.8,11.41
349,nanortalik,0,GL,1552582231,100,60.14,-45.24,22.74,33.24
350,manaus,40,BR,1552579200,70,-3.13,-59.98,87.8,6.93
351,loandjili,40,CG,1552579200,84,-4.77,11.87,86,9.17
352,sinjar,56,SY,1552582231,76,35.59,37,51.94,15.23
353,umm lajj,0,SA,1552582232,95,25.02,37.27,63.87,10.65
354,hearst,92,CA,1552582232,94,49.69,-83.67,44.2,7.96
355,krasnyye baki,20,RU,1552582232,90,57.13,45.16,22.24,5.06
356,potosi,40,BO,1552579200,54,-19.59,-65.75,59,0.92
357,samfya,44,ZM,1552582293,95,-11.37,29.56,71.07,2.26
358,valea stanciului,75,RO,1552581925,70,43.99,23.87,46.99,3.36
359,maniitsoq,0,GL,1552582293,100,65.42,-52.9,5.05,5.17
360,payakumbuh,12,ID,1552582294,90,-0.23,100.63,71.07,2.15
361,warwick,90,US,1552582047,70,41.7,-71.42,50,11.41
362,matara,75,PE,1552579200,58,-13.74,-72.9,53.6,9.17
363,kalengwa,20,ZM,1552582295,80,-13.47,25,69.31,5.95
364,grindavik,75,IS,1552581000,100,63.84,-22.43,37.4,9.17
365,bondo,56,CD,1552582295,35,3.81,23.69,91.77,4.61
366,linhares,8,BR,1552582296,43,-19.38,-40.06,96.85,9.19
367,shimoda,24,JP,1552582211,63,34.7,138.93,39.99,5.01
368,pontianak,80,ID,1552582296,94,-0.02,109.34,78.18,2.48
369,araouane,0,ML,1552582297,13,18.9,-3.53,82.95,4.61
370,balaguer,0,ES,1552582055,47,41.79,0.81,61,21.92
371,parrita,0,CR,1552579200,44,9.52,-84.33,82.4,13.87
372,malanje,20,AO,1552582297,91,-9.54,16.35,70.75,4.5
373,lebedyn,68,UA,1552582298,67,50.58,34.48,33.18,7.74
374,veraval,90,FR,1552582282,93,49.65,0.71,52,19.46
375,raghogarh,0,IN,1552582299,65,24.45,77.19,58.83,6.73
376,husavik,76,CA,1552582241,70,50.56,-96.99,34,11.99
377,padang,20,ID,1552579200,94,-0.92,100.36,78.8,3.36
378,jumla,92,NP,1552582300,99,29.28,82.18,27.15,1.92
379,arman,0,RU,1552582300,27,59.7,150.17,-19.61,2.59
380,barcelos,0,PT,1552581919,62,41.53,-8.62,66.99,10.29
381,zelenets,0,RU,1552582300,83,53.83,48.02,18.33,8.41
382,pokrovka,44,RU,1552582301,77,43.95,131.63,22.2,3.49
383,rio verde de mato grosso,0,BR,1552582301,64,-18.92,-54.84,88.84,8.52
384,pregradnoye,24,RU,1552582302,72,45.82,41.75,39.52,16.24
385,hamilton,90,CA,1552582112,87,43.26,-79.87,46,6.93
386,fallon,1,US,1552578960,73,46.84,-105.12,24.8,16.11
